Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
205882,Secondary, Опалиха,6.0,Moscow region,1.0,30.6,11.1,8.5,25.0,25,Cosmetic
182927,Secondary, Павшино,2.0,Moscow region,1.0,49.2,20.0,10.0,6.0,15,European-style renovation
248098,Secondary, Мякинино,14.0,Moscow region,1.0,44.7,16.2,13.1,10.0,25,Cosmetic
236467,Secondary, Строгино,8.0,Moscow region,1.0,35.1,16.0,11.0,12.0,33,European-style renovation
171088,Secondary, Опалиха,6.0,Moscow region,1.0,37.7,15.2,4.0,5.0,5,Without renovation
186198,Secondary, Опалиха,6.0,Moscow region,1.0,38.4,18.0,8.0,8.0,18,European-style renovation
224242,Secondary, Нахабино,11.0,Moscow region,1.0,33.0,16.0,8.0,7.0,7,European-style renovation
300000,Secondary, Строгино,27.0,Moscow region,1.0,25.0,14.8,8.7,16.0,34,European-style renovation
186603,Secondary, Красногорская,6.0,Moscow region,1.0,41.8,18.0,10.0,6.0,17,Cosmetic
181818,Secondary, Тушинская,35.0,Moscow region,1.0,44.0,19.0,11.0,11.0,24,Designer
200893,Secondary, Аникеевка,17.0,Moscow region,1.0,44.8,15.0,10.3,5.0,6,European-style renovation
315385,Secondary, Волоколамская,16.0,Moscow region,1.0,39.0,21.9,9.9,26.0,30,Designer
291667,Secondary, Волоколамская,12.0,Moscow region,1.0,48.0,23.0,9.0,12.0,28,Designer
177515,Secondary, Павшино,3.0,Moscow region,1.0,33.8,17.0,7.0,4.0,9,Without renovation
189602,Secondary, Красногорская,19.0,Moscow region,1.0,32.7,18.0,6.0,9.0,9,European-style renovation
196262,Secondary, Красногорская,19.0,Moscow region,1.0,32.1,18.4,9.3,2.0,9,Without renovation
186246,Secondary, Опалиха,7.0,Moscow region,1.0,34.9,17.0,9.0,2.0,14,Cosmetic
178947,Secondary, Опалиха,7.0,Moscow region,1.0,38.0,17.4,9.0,8.0,14,European-style renovation
183750,Secondary, Опалиха,6.0,Moscow region,1.0,40.0,16.1,9.8,17.0,24,European-style renovation
170168,Secondary, Красногорская,6.0,Moscow region,1.0,47.6,26.0,12.0,8.0,11,Cosmetic
252308,Secondary, Опалиха,12.0,Moscow region,1.0,32.5,18.6,9.3,1.0,8,Designer
235616,Secondary, Строгино,8.0,Moscow region,1.0,36.5,13.0,15.0,23.0,33,Designer
272593,Secondary, Опалиха,5.0,Moscow region,1.0,33.75,16.5,8.6,3.0,8,Designer
237852,Secondary, Волоколамская,15.0,Moscow region,1.0,39.1,18.0,11.0,17.0,29,Without renovation
265763,Secondary, Мякинино,16.0,Moscow region,1.0,38.0,21.3,9.8,6.0,19,Designer
216535,Secondary, Строгино,11.0,Moscow region,1.0,50.8,23.2,11.6,14.0,22,Cosmetic
367454,Secondary, Мякинино,16.0,Moscow region,1.0,38.1,21.4,9.8,5.0,19,Designer
197468,Secondary, Опалиха,6.0,Moscow region,1.0,39.5,16.6,12.0,20.0,26,European-style renovation
196203,Secondary, Опалиха,7.0,Moscow region,1.0,39.5,14.0,14.1,2.0,26,European-style renovation
188636,Secondary, Опалиха,5.0,Moscow region,1.0,44.0,18.0,11.6,10.0,25,Cosmetic
264798,Secondary, Пенягино,16.0,Moscow region,1.0,32.1,9.0,18.0,23.0,45,European-style renovation
223810,Secondary, Пенягино,9.0,Moscow region,1.0,42.0,9.0,10.1,4.0,23,Cosmetic
251989,Secondary, Мякинино,20.0,Moscow region,1.0,37.7,18.9,7.4,8.0,17,Without renovation
248705,Secondary, Мякинино,20.0,Moscow region,1.0,38.6,21.6,9.8,16.0,17,Cosmetic
229314,Secondary, Митино,7.0,Moscow region,1.0,42.3,23.5,10.1,7.0,17,European-style renovation
266839,Secondary, Строгино,8.0,Moscow region,1.0,38.6,17.0,12.0,16.0,32,European-style renovation
255814,Secondary, Мякинино,15.0,Moscow region,1.0,43.0,19.6,5.0,3.0,17,European-style renovation
320000,Secondary, Пенягино,16.0,Moscow region,1.0,36.5,20.6,9.7,5.0,45,Designer
425000,Secondary, Павшино,2.0,Moscow region,1.0,28.0,18.0,7.0,12.0,31,Designer
229508,Secondary, Красногорская,36.0,Moscow region,1.0,18.3,13.0,2.3,5.0,5,Cosmetic
169355,Secondary, Павшино,6.0,Moscow region,1.0,31.0,18.0,6.0,1.0,4,Cosmetic
175806,Secondary, Красногорская,13.0,Moscow region,1.0,31.0,18.0,6.0,5.0,5,Cosmetic
126667,Secondary, Опалиха,29.0,Moscow region,1.0,45.0,28.0,7.0,1.0,3,Cosmetic
217669,Secondary, Опалиха,7.0,Moscow region,1.0,26.6,16.5,5.0,23.0,26,European-style renovation
178462,Secondary, Павшино,5.0,Moscow region,1.0,32.5,20.0,7.0,7.0,9,Cosmetic
204947,Secondary, Павшино,12.0,Moscow region,1.0,28.3,17.0,6.0,3.0,5,Without renovation
253913,Secondary, Павшино,4.0,Moscow region,1.0,23.0,14.5,3.5,4.0,5,Cosmetic
187097,Secondary, Павшино,10.0,Moscow region,1.0,31.0,18.0,9.2,3.0,5,Cosmetic
260870,Secondary, Павшино,4.0,Moscow region,1.0,23.0,14.5,3.5,4.0,5,Cosmetic
200000,Secondary, Опалиха,7.0,Moscow region,1.0,30.5,14.0,9.5,13.0,25,European-style renovation
156410,Secondary, Опалиха,6.0,Moscow region,1.0,39.0,10.0,9.9,7.0,18,Cosmetic
156410,Secondary, Опалиха,6.0,Moscow region,1.0,39.0,9.0,9.9,5.0,18,Cosmetic
190625,Secondary, Опалиха,19.0,Moscow region,1.0,32.0,18.3,9.3,1.0,7,Cosmetic
193750,Secondary, Красногорская,7.0,Moscow region,1.0,32.0,17.0,6.0,4.0,5,European-style renovation
210000,Secondary, Павшино,7.0,Moscow region,1.0,30.0,10.9,8.3,25.0,25,Cosmetic
323077,Secondary, Пенягино,8.0,Moscow region,1.0,19.5,12.0,8.3,2.0,22,Designer
187291,Secondary, Красногорская,6.0,Moscow region,1.0,34.7,19.0,10.0,11.0,16,Without renovation
204403,Secondary, Тушинская,17.0,Moscow region,1.0,31.8,13.7,10.0,19.0,25,Cosmetic
192647,Secondary, Опалиха,16.0,Moscow region,1.0,34.0,15.0,11.0,4.0,12,Cosmetic
195588,Secondary, Опалиха,16.0,Moscow region,1.0,34.0,15.0,11.0,6.0,12,Cosmetic
198529,Secondary, Опалиха,19.0,Moscow region,1.0,34.0,18.0,6.0,1.0,6,European-style renovation
191549,Secondary, Опалиха,7.0,Moscow region,1.0,35.5,14.9,11.5,12.0,25,Cosmetic
166667,Secondary, Опалиха,16.0,Moscow region,1.0,40.8,17.0,14.9,2.0,8,Without renovation
191549,Secondary, Опалиха,15.0,Moscow region,1.0,35.5,16.0,11.5,2.0,12,Without renovation
194633,Secondary, Тушинская,16.0,Moscow region,1.0,35.4,17.0,8.4,4.0,14,European-style renovation
179420,Secondary, Опалиха,5.0,Moscow region,1.0,37.9,18.0,9.0,9.0,18,Cosmetic
193732,Secondary, Павшино,14.0,Moscow region,1.0,35.1,17.7,8.0,5.0,9,Cosmetic
241034,Secondary, Красногорская,18.0,Moscow region,1.0,29.0,15.2,5.0,5.0,5,European-style renovation
189189,Secondary, Красногорская,8.0,Moscow region,1.0,37.0,14.5,10.1,15.0,24,Cosmetic
214724,Secondary, Опалиха,6.0,Moscow region,1.0,32.6,13.8,8.7,3.0,9,European-style renovation
152174,Secondary, Павшино,20.0,Moscow region,1.0,46.0,20.0,8.0,11.0,25,Without renovation
184211,Secondary, Красногорская,39.0,Moscow region,1.0,38.0,19.0,9.0,9.0,14,Cosmetic
179293,Secondary, Опалиха,5.0,Moscow region,1.0,39.6,17.6,8.2,2.0,18,European-style renovation
180000,Secondary, Тушинская,17.0,Moscow region,1.0,40.0,22.4,9.9,4.0,25,Cosmetic
202247,Secondary, Опалиха,7.0,Moscow region,1.0,35.6,14.0,11.4,7.0,24,European-style renovation
180000,Secondary, Опалиха,6.0,Moscow region,1.0,40.0,15.7,8.2,2.0,11,European-style renovation
225000,Secondary, Красногорская,15.0,Moscow region,1.0,32.0,19.0,6.0,3.0,5,Cosmetic
189474,Secondary, Опалиха,6.0,Moscow region,1.0,38.0,19.0,8.0,7.0,17,Cosmetic
182278,Secondary, Красногорская,8.0,Moscow region,1.0,39.5,10.0,9.9,2.0,18,Cosmetic
189844,Secondary, Опалиха,6.0,Moscow region,1.0,38.4,16.8,10.4,14.0,26,European-style renovation
185751,Secondary, Опалиха,5.0,Moscow region,1.0,39.3,13.2,13.2,22.0,25,European-style renovation
185751,Secondary, Павшино,7.0,Moscow region,1.0,39.3,19.5,9.4,3.0,14,Cosmetic
187342,Secondary, Опалиха,6.0,Moscow region,1.0,39.5,12.7,15.1,22.0,25,Cosmetic
217647,Secondary, Красногорская,6.0,Moscow region,1.0,34.0,15.0,8.0,9.0,9,European-style renovation
234344,Secondary, Опалиха,4.0,Moscow region,1.0,32.0,15.0,10.0,2.0,8,Without renovation
231366,Secondary, Опалиха,10.0,Moscow region,1.0,32.2,15.0,9.1,9.0,12,European-style renovation
234375,Secondary, Павшино,12.0,Moscow region,1.0,32.0,17.0,10.0,7.0,21,European-style renovation
131579,Secondary, Митино,12.0,Moscow region,1.0,57.0,20.6,12.0,1.0,10,Cosmetic
